Resource_ID,Resource_Type,Region,Hours_Used,Cost_USD
res-0001,RDS,eu-central-1,135.14,373.37
res-0002,EKS,us-east-1,642.75,324.99
res-0003,Lambda,us-east-1,388.79,424.69
res-0004,EKS,us-east-1,581.55,328.98
res-0005,EKS,eu-central-1,645.29,284.37
res-0006,S3,us-east-1,229.64,47.29
res-0007,Lambda,ap-southeast-1,80.13,184.17
res-0008,Lambda,us-east-1,164.89,132.97
res-0009,Lambda,ap-southeast-1,308.09,122.37
res-0010,EKS,ap-southeast-1,589.15,486.52
res-0011,RDS,ap-southeast-1,619.87,196.85
res-0012,Lambda,eu-central-1,6.0,446.08
res-0013,CloudFront,eu-central-1,368.23,315.75
res-0014,EKS,eu-central-1,301.12,397.51
res-0015,S3,us-east-1,160.7,251.57
res-0016,RDS,ap-southeast-1,87.18,288.66
res-0017,CloudFront,eu-central-1,243.75,246.51
res-0018,CloudFront,eu-central-1,678.95,98.02
res-0019,S3,us-east-1,233.38,361.36
res-0020,RDS,eu-central-1,374.01,140.75
res-0021,EKS,us-east-1,506.47,12.65
res-0022,EC2,us-west-2,262.45,322.91
res-0023,RDS,eu-central-1,699.71,88.97
res-0024,S3,us-west-2,693.0,470.26
res-0025,CloudFront,us-east-1,182.03,476.99
res-0026,EKS,ap-southeast-1,358.52,457.47
res-0027,RDS,eu-central-1,217.33,185.39
res-0028,EC2,us-east-1,205.8,8.22
res-0029,EC2,ap-southeast-1,27.52,464.2
res-0030,Lambda,ap-southeast-1,439.28,214.38
res-0031,Lambda,us-west-2,362.43,483.34
res-0032,S3,us-east-1,38.01,481.83
res-0033,RDS,ap-southeast-1,201.35,426.58
res-0034,RDS,eu-central-1,654.04,147.58
res-0035,CloudFront,eu-central-1,173.24,192.86
res-0036,CloudFront,us-west-2,105.18,425.64
res-0037,CloudFront,ap-southeast-1,352.92,158.8
res-0038,Lambda,us-east-1,709.68,85.16
res-0039,RDS,eu-central-1,175.04,278.62
res-0040,RDS,ap-southeast-1,484.27,468.11
res-0041,EC2,ap-southeast-1,548.6,348.17
res-0042,Lambda,us-west-2,171.86,285.25
res-0043,EKS,eu-central-1,524.59,49.04
res-0044,Lambda,eu-central-1,265.44,307.7
res-0045,EKS,us-east-1,455.63,495.03
res-0046,EC2,eu-central-1,456.51,70.47
res-0047,S3,us-east-1,386.22,259.41
res-0048,RDS,eu-central-1,65.92,438.75
res-0049,EC2,us-west-2,601.58,370.51
res-0050,RDS,eu-central-1,231.64,348.66
res-0051,CloudFront,us-east-1,135.11,351.39
res-0052,S3,us-east-1,30.32,180.07
res-0053,S3,us-west-2,425.85,147.15
res-0054,EC2,eu-central-1,488.17,404.78
res-0055,S3,eu-central-1,12.93,405.15
res-0056,EKS,us-west-2,369.19,433.6
res-0057,S3,eu-central-1,163.85,456.66
res-0058,RDS,eu-central-1,464.88,255.92
res-0059,RDS,us-east-1,126.37,251.01
res-0060,RDS,eu-central-1,497.78,399.25
res-0061,RDS,eu-central-1,279.06,325.16
res-0062,EKS,us-west-2,674.51,351.13
res-0063,Lambda,us-west-2,99.88,398.0
res-0064,CloudFront,ap-southeast-1,246.23,445.06
res-0065,EC2,us-east-1,82.59,169.33
res-0066,RDS,eu-central-1,665.85,188.1
res-0067,S3,eu-central-1,631.81,47.44
res-0068,RDS,ap-southeast-1,186.46,289.35
res-0069,S3,eu-central-1,475.53,18.45
res-0070,CloudFront,us-east-1,588.58,233.07
res-0071,CloudFront,ap-southeast-1,400.19,271.55
res-0072,CloudFront,us-east-1,381.82,143.63
res-0073,S3,ap-southeast-1,174.89,295.62
res-0074,RDS,ap-southeast-1,67.94,15.73
res-0075,CloudFront,us-west-2,646.1,19.16
res-0076,EKS,us-east-1,648.4,411.39
res-0077,S3,eu-central-1,456.2,180.42
res-0078,S3,eu-central-1,244.76,63.97
res-0079,RDS,us-east-1,252.08,261.36
res-0080,S3,eu-central-1,522.96,385.11
res-0081,S3,eu-central-1,646.02,108.3
res-0082,CloudFront,us-east-1,638.82,311.63
res-0083,RDS,ap-southeast-1,561.73,43.13
res-0084,CloudFront,us-east-1,462.62,26.32
res-0085,CloudFront,ap-southeast-1,61.5,265.91
res-0086,RDS,eu-central-1,117.21,270.55
res-0087,EC2,eu-central-1,647.06,318.9
res-0088,CloudFront,eu-central-1,437.02,363.18
res-0089,EKS,us-west-2,7.61,487.94
res-0090,EKS,ap-southeast-1,73.96,258.39
res-0091,S3,us-west-2,478.06,161.82
res-0092,EKS,us-west-2,4.64,397.7
res-0093,S3,us-east-1,116.62,135.78
res-0094,EC2,us-west-2,395.54,219.77
res-0095,RDS,us-east-1,498.47,39.69
res-0096,RDS,us-east-1,469.76,13.16
res-0097,RDS,us-west-2,162.25,481.34
res-0098,EKS,ap-southeast-1,513.06,418.07
res-0099,EC2,ap-southeast-1,171.58,348.14
res-0100,EKS,ap-southeast-1,234.96,204.77
